N_Fiche,Client,Adresse,Date,Technicien,Modele_Diffuseur,Emplacement,Quantite_Livree,Nom_Parfum,Observations,Column1
15926,Hamdi Workshop,Ennasr,14/01/2026,Ghassen,Aromair100,entre,300ml,J.B,commande confirme 300ml J.B (salle de maquillage),
16997,Artige,Lac 1,24/01/2026,Ghassen,Aromair100,entrée,110ml,Fe3,,
17782,Mall of Sousse,Sousse,30/01/2026,Houssem,Zephyr,WCH RDC,300ml,O.B,,
17782,Mall of Sousse,Sousse,30/01/2026,Houssem,Zephyr,WCF.RDC,300ml,O.B,,
17782,Mall of Sousse,Sousse,30/01/2026,Houssem,Zephyr,C. Mosaique,300ml,O.B,,
17782,Mall of Sousse,Sousse,30/01/2026,Houssem,Zephyr,WCF Mosq,300ml,O.B,,
17782,Mall of Sousse,Sousse,30/01/2026,Houssem,Zephyr,WCH Mosq,300ml,O.B,,
17782,Mall of Sousse,Sousse,30/01/2026,Houssem,Astree,Direction,300ml,O.B,,
17782,Mall of Sousse,Sousse,30/01/2026,Houssem,Aromair150,Mosq,300ml,Agrume,,
16992,Arena Gym,Soukra,24/01/2026,Houssem,Aromair100,Entrée,,mel,,
15922,Cabinet Dr. Haifa Chebbi,Bardo,14/01/2026,Houssem,Astree,Entrée,300ml,R.G,Récuperation 170 ml R.G à l'atelier.,
16952,Laico,Tunis,19/01/2026,,Zee300,13éme étage,,R.U,,
15939,Hotel Diar El Andalous,Sousse,16/01/2026,Ghassen,,,,,Changement Pompe CTA Bas + Douille et raccord / Changement fréq Diff chambre (Aromair150) -> 120-240 / Livraison deux Bouteilles 300 ml (échange) / Récupération bidon + ancien pompe,
17757,Oishi,Soukra,26/01/2026,Houssem,Astree,Entrée,,Agrume,Commande confirmée bouteille 300 ml Agrume,
15930,Clinique Kaynos,Lac 2,15/01/2026,Ghassen,Astree,+1,,Fe3,commande confirmée 2 bouteilles Fe3,
15930,Clinique Kaynos,Lac 2,15/01/2026,Ghassen,Astree,R.C,,Fe3,,
17786,Alia Megdiche,Sfax,30/01/2026,Ghassen,Aromair100,entrée,300ml,R.G,,
15941,Barista's,Aouina,17/01/2026,Ghassen,Aromair100,entrée,300ml,Black off,,
15925,Arena Gym,El Manar,14/01/2026,Ghassen,Aromair100,RDC,,Fe3,diff fermé par le personnel / changement Freq Diff (entree) = 2-6 min,
16999,Ceram Garden,GP9,24/01/2026,Ghassen,,,,,Récupération diff Zee300 + 13ml T.H -> diff is fonctionne en bonne état on a gardé la bouteille + le liquide de deux diff ceramique + deux cable BT chez le client,
16996,Concorde,Lac 1,24/01/2026,Houssem,,,,,Recuperation deux Diff (Astree) en pour Diagnostic et Reparation à l'atelier.,
17763,Slim Optic,Lac 1,27/01/2026,Ghassen,Iceburg,entrée,300ml,F.C,,
17763,Slim Optic,Lac 1,27/01/2026,Ghassen,Iceburg,au fond,300ml,F.C,,
17763,Slim Optic,Lac 1,27/01/2026,Ghassen,Iceburg,Vitrine,300ml,F.C,,
16979,JL Invest,Lac 2,23/01/2026,Ghassen,Astree,entrée,,R.G,,
16979,JL Invest,Lac 2,23/01/2026,Ghassen,Astree,salle reunion,,B.G,,
15933,Cafe Yucca,Jardin d'EL Menzah,15/01/2026,Ghassen,Aromair100,entrée,300ml,Fe3,changement de Freq Diff entre Aromair100 salon de thé Yuca (2-5) / Echange Diffiseur Zee300,
16983,Maison Volkswagen,La Goulettte,23/01/2026,Ghassen,Astree,R.DC,,F.the,,
16983,Maison Volkswagen,La Goulettte,23/01/2026,Ghassen,Astree,+ 1,,F.the,,
15924,Pharmacie de Nuit Maher Guiga,Bardo,14/01/2026,Houssem,Aromair100,Entrée,300ml,Fe2,commande confirmée bouteille 300 ml Fe2,
17767,JL Invest,Lac 2,28/01/2026,Ghassen,,,,,Nettoyage contour diff entrée + diff salle de réunion / Appliqué Aroma Flash à les Bouteilles de les diffs,
17776,Clinique Ibn Kholdoun,Sousse,29/01/2026,Ghassen & Houssem,Zee300,R.C,300ml,R.G,Reste 3 bouteille 300 R.G en stock chez le client,
17776,Clinique Ibn Kholdoun,Sousse,29/01/2026,Ghassen & Houssem,Zee300,R.DC,300ml,R.G,,
17776,Clinique Ibn Kholdoun,Sousse,29/01/2026,Ghassen & Houssem,Zee300,-1,300ml,R.G,,
17776,Clinique Ibn Kholdoun,Sousse,29/01/2026,Ghassen & Houssem,Aromair150,+1,300ml,R.G,,
17776,Clinique Ibn Kholdoun,Sousse,29/01/2026,Ghassen & Houssem,Zee300,+1,300ml,R.G,,
17776,Clinique Ibn Kholdoun,Sousse,29/01/2026,Ghassen & Houssem,Aromair150,Bureau.D,300ml,R.G,,
15915,Affaire A Suivre,Marsa,14/01/2026,Ghassen,Astree,entre,,F.The,Changement Freq diff entree => 2 - 10,
15945,Maison Karim,Jardins Carthage,17/01/2026,Ghassen,Iceburg,salon,,H.h,Livraison Diff Iceburg (salon) + 300 ml H.h,
16988,Poly Lighting,GP9,23/01/2026,Houssem,,,,,Récupération Diff (Entrée) a L'atelier pour la reparation + 26 ml F.B,
15921,Ooredoo,Charguia,14/01/2026,Ghassen,Zee300,entré,130ml,F.M,Changement tête Bouteille Diff 2éme étage (Aromair100),
15921,Ooredoo,Charguia,14/01/2026,Ghassen,Centrale/CTA,+2 D,55ml,T.B,,
15921,Ooredoo,Charguia,14/01/2026,Ghassen,Aromair100,+2 G,70ml,Fe 3,,
15923,Pharmacie Bardo,Bardo,14/01/2026,Houssem,Aromair100,Entrée,,Fe2,,
16987,Sodeco,GP9,23/01/2026,Houssem,Zee300,entré,,Melange,,
16953,M. Food & Drinks,Megrine,19/01/2026,,Iceburg,B.D,,T.H,on a laisse un mot chapeau du diff Bureau directeur a la prohaine visite,
15909,Clinique Ibn Kholdoun,Sousse,13/01/2026,Ghassen & Houssem,Astree,B.D,,R.G,"changement prog diff (Reception, RDC, +1, -1, B. directeur) = 12:00 -> 05:00 / 8 -> 12/13 -> 17:00 / Livraison diff Aromair150 + 150ml J.B (en stock client)",
15909,Clinique Ibn Kholdoun,Sousse,13/01/2026,Ghassen & Houssem,Zee300,B.D,,R.G,,
17753,Clinique Alyssa,Lac 1,26/01/2026,Ghassen,Zee600,entré,300ml,F.M,,
17762,Floralies,Lac 3,27/01/2026,,Zee600,Entrée,,F.Thé,,
15944,Clinique Kaynos,Lac 2,17/01/2026,Ghassen,Astree,entrée,300ml,Fe3,Payment espece,
17770,Machewi 5 Etoiles,Cabalet Ben Ammar,28/01/2026,Ghassen,Zee300,B.D.C,500ml,Melange,,
17770,Machewi 5 Etoiles,Cabalet Ben Ammar,28/01/2026,Ghassen,Zee300,B.D.E,500ml,Melange,,
16955,Edward's,Soukra,19/01/2026,Ghassen,Aromair100,entré,300ml,Myrrh,,
16955,Edward's,Soukra,19/01/2026,Ghassen,Aromair150,+1,200ml,Myrrh,,
16955,Edward's,Soukra,19/01/2026,Ghassen,Iceburg,entré,300ml,Myrrh,,
16955,Edward's,Soukra,19/01/2026,Ghassen,Iceburg,au fond,300ml,Myrrh,,
16954,Darty,Marsa,19/01/2026,Houssem,Zee600,Entrée,,Agrume,,
16954,Darty,Marsa,19/01/2026,Houssem,Aromair150,W.C,,F.the,,
16954,Darty,Marsa,19/01/2026,Houssem,Aromair100,+1,180ml,Agrume,Acheté Agrume + 1 litre F.the,
16994,Ceram Square,GP9,24/01/2026,Ghassen,,,,,Récupération diff Zee300 + 415ml T.H -> diff en bonne etat on a gardé la bouteille + le liquide de deux diff ceramique + deux cable R+G chez le client,
16984,Maison Audi,La Goulette,23/01/2026,Houssem,Zee300,entrée D,300ml,R.U,"changement Prog Diff entre -> 120-300 / changement Diff entre -> 20-300 / Stock client: 4 bouteilles (Tobacco Show), 3 bouteilles (Rouge Used)",
15928,Retaurant Safran,Lac 1,15/01/2026,Ghassen,Zee600,Entré,,P.O,changement Plage d'Horaire Diff entree => ( 9:00 -> 00:00 ),
17759,Zahia,Soukra,27/01/2026,Ghassen,Astree,entrée,150ml,F.O,Perfect!,
15994,Hertz,Charguia,12/01/2026,Houssem,Astree,Entrée,300ml,W.J,,
15993,Centre Livraison VW,Kram,12/01/2026,Houssem,Zee300,Reception,300ml,W.J,,
16038,Tony Nasr,GP9,05/01/2026,Houssem,Aromair100,Entrée,,Fez,,
15910,Hotel Kantaoui,Kantaoui, Sousse,13/01/2026,Ghassen & Houssem,,,,,Livraison 7 Bouteilles 1L parfum P.O pour hotel Kantaoui Bay en stock client (les sept Bouteilles sont cachetées)
15911,Hotel Diar El Andalous,Sousse,13/01/2026,Ghassen & Houssem,,,,,Livraison un bidon de CTA Bas hotel Diar Landalos en stock client,
