fiche_no,client_matched,adresse_matched,date_heure,technicien,source,model_matched,emplacement,parfum_extracted,qte_restante,qte_livree
17590,JL Invest ,Lac2,22/06/2026,Houssem,Controle,Astree,S. Reunion,RG,210,0
17590,JL Invest ,Lac2,22/06/2026,Houssem,Controle,Iceburg,bureau d,R.G,0,0
17590,JL Invest ,Lac2,22/06/2026,Houssem,Recharge,Note: probleme pompe diffuseur,null,null,0,0
17655,Le Sportif ,Soukra,25/06/2026,Houssem,Controle,Zee600,Entree,null,,0
17655,Le Sportif ,Soukra,25/06/2026,Houssem,Controle,Note: Prise defectueuse,null,null,0,0
17593,Zinnia,Soukra,22/06/2026,Houssem,Recharge,Iceburg,Entrée,Fig,0,300
17654,Geliamo,Marsa,25/06/2026,Houssem,Controle,Aromair150,entree,Desigal,0,0
17654,Geliamo,Marsa,25/06/2026,Houssem,Recharge,Aromair150,entree,Desigal,0,200
17678,Boumiza Square ,Sousse,27/06/2026,Houssem,Controle,Zee600,RDC,F.C,0,0
17678,Boumiza Square ,Sousse,27/06/2026,Houssem,Controle,Aromair100,WC,F.C,0,0
17678,Boumiza Square ,Sousse,27/06/2026,Houssem,Controle,Zee600,+1,F.C,0,0
17678,Boumiza Square ,Sousse,27/06/2026,Houssem,Controle,Zee300,S. Jeny,F.C,0,0
17678,Boumiza Square ,Sousse,27/06/2026,Houssem,Recharge,Zee600,RDC,F.C,0,300
17678,Boumiza Square ,Sousse,27/06/2026,Houssem,Recharge,Aromair100,WC,F.C,0,300
17678,Boumiza Square ,Sousse,27/06/2026,Houssem,Recharge,Zee600,+1,F.C,0,300
17678,Boumiza Square ,Sousse,27/06/2026,Houssem,Recharge,Zee300,S. Jeny,T.C,0,300
17653,Mme Jemmeli,Marsa,25/06/2026,Houssem,Controle,Zee300,SALON,Rose d'or,0,0
17653,Mme Jemmeli,Marsa,25/06/2026,Houssem,Recharge,Zee300,SALON,Rose d'or,0,300
17596,La centrale Tunisie,Lac1,23/06/2026,Houssem,Controle,Astree,Entrée G,mel,0,0
17596,La centrale Tunisie,Lac1,23/06/2026,Houssem,Controle,Astree,Entrée D,mel,30,0
17596,La centrale Tunisie,Lac1,23/06/2026,Houssem,Recharge,Astree,Entrée G,mel,0,100
17596,La centrale Tunisie,Lac1,23/06/2026,Houssem,Recharge,Astree,Entrée D,mel,0,100
17592,Volkswagen SAV ,Charguia,22/06/2026,Houssem,Controle,Zee300,Reception,R.G,20,0
17592,Volkswagen SAV ,Charguia,22/06/2026,Houssem,Recharge,Zee300,Reception,R.G,0,300
17677,Parapharmacie La Grande,Sousse,27/06/2026,Houssem,Recharge,Zee300,Entree,Lin,0,300
17676,Med Chakroun ,Hammam Sousse,27/06/2026,Houssem,Controle,Zee300,entree,T.H,239,0
17676,Med Chakroun ,Hammam Sousse,27/06/2026,Houssem,Recharge,Zee300,entree,T.H,0,300
17675,Boumiza Prod,Sousse,26/06/2026,Houssem,Recharge,Aromair150,Entree,B.the,0,300
17674,Mall of Sousse ,Sousse,27/06/2026,Houssem,Controle,Zee300,C. Mosquée,OB,95,0
17674,Mall of Sousse ,Sousse,27/06/2026,Houssem,Controle,Zee600,WC F.C.,OB,160,0
17674,Mall of Sousse ,Sousse,27/06/2026,Houssem,Controle,Zee600,WC H.C.,OB,0,0
17674,Mall of Sousse ,Sousse,27/06/2026,Houssem,Controle,Aromair150,Mosquée,Rose d'or,30,0
17674,Mall of Sousse ,Sousse,27/06/2026,Houssem,Controle,Astree,Admin,T.H,58,0
17679,Maison Mme Dridi ,Soukra,23/06/2026,Houssem,Controle,Astree,salon,R.G,0,0
17679,Maison Mme Dridi ,Soukra,23/06/2026,Houssem,Recharge,Astree,salon,R.G,0,300
