fiche_no,client_matched,adresse_matched,date_heure,technicien,source,model_matched,emplacement,parfum_extracted,qte_restante,qte_livree
017603,Oriflame ,Lac1,08/06/26,Houssem,Controle,Astree,Entree,FC,55,0
017604,Table Espace ,Lac1,08/06/26,Houssem,Controle,Astree,Entree,B.the,240,0
017605,Renault Trucks,La Goulette,08/06/26,Houssem,Controle,Astree,Reception,RG,286,0
017605,Renault Trucks,La Goulette,08/06/26,Houssem,Controle,Astree,au fond,RG,220,0
017606,Clevory ,Charguia,08/06/26,Houssem,Recharge,Aromair100,Entree,Cash,0,300
017607,Cabinet Dr. Louati,Lac2,08/06/26,Houssem,Controle,Zee300,Entree,Fologne,0,0
017607,Cabinet Dr. Louati,Lac2,08/06/26,Houssem,Recharge,Zee300,Entree,FN,0,200
017608,Maison Mr Ansi Cipalin,Jardins Carthage,08/06/26,Houssem,Recharge,Zee300,Salon,TH,0,600
017608,Maison Mr Ansi Cipalin,Jardins Carthage,08/06/26,Houssem,Recharge,Stock,Stock,TH,0,300
017609,Tony Nasr,GP9,09/06/26,Houssem,Controle,Aromair100,Entree,Rose d'or,140,0
017610,Sodeco ,Aouina,09/06/26,Houssem,Controle,Zee300,Entree,B.the,4,0
017612,Hotel Carlton,Tunis,09/06/26,Houssem,Controle,Aromair100,Reception,MELANGE,190,0
017612,Hotel Carlton,Tunis,09/06/26,Houssem,Controle,Aromair100,S. Reunion,MELANGE,0,0
017613,Agence Doze,CUN,09/06/26,Houssem,Controle,Astree,Entree,Rose d'or,185,0
017614,Hygiene 716 Lac2,Lac2,09/06/26,Houssem,Controle,Aromair100,WCH,Jasmin,0,0
017614,Hygiene 716 Lac2,Lac2,09/06/26,Houssem,Controle,Aromair100,WCF,Jasmin,0,0
017614,Hygiene 716 Lac2,Lac2,09/06/26,Houssem,Controle,Zee600,Entree 1,FN,0,0
017614,Hygiene 716 Lac2,Lac2,09/06/26,Houssem,Controle,Zee600,Entree 2,FN,0,0
017614,Hygiene 716 Lac2,Lac2,09/06/26,Houssem,Controle,Zee600,Entree 3,FN,0,0
017614,Hygiene 716 Lac2,Lac2,09/06/26,Houssem,Recharge,Aromair100,WCH,Jasmin,0,300
017614,Hygiene 716 Lac2,Lac2,09/06/26,Houssem,Recharge,Aromair100,WCF,Jasmin,0,300
017614,Hygiene 716 Lac2,Lac2,09/06/26,Houssem,Recharge,Zee600,Entree 1,FN,0,500
017614,Hygiene 716 Lac2,Lac2,09/06/26,Houssem,Recharge,Zee600,Entree 2,FN,0,500
017614,Hygiene 716 Lac2,Lac2,09/06/26,Houssem,Recharge,Zee600,Entree 3,FN,0,500
017615,Ridotti ,Soukra,09/06/26,Houssem,Controle,Astree,Entree,SI,243,0
017616,Hotel Concorde ,Lac1,11/06/26,Houssem,Controle,Astree,RDC SPA,Neroli,10,0
017616,Hotel Concorde ,Lac1,11/06/26,Houssem,Controle,Astree,+1 SPA,Neroli,30,0
017616,Hotel Concorde ,Lac1,11/06/26,Houssem,Recharge,Astree,RDC SPA,FJ,0,300
017616,Hotel Concorde ,Lac1,11/06/26,Houssem,Recharge,Astree,+1 SPA,FJ,0,300
017618,Paris-Tunis,Lac2,10/06/26,Houssem,Controle,Astree,Entree,RD,260,0
017619,Clinique Kaynos,Lac2,10/06/26,Houssem,Controle,Astree,1,FE3,0,0
017619,Clinique Kaynos,Lac2,10/06/26,Houssem,Controle,Astree,RDC,FE2,62,0
017620,Hotel Corail,Lac2,10/06/26,Houssem,Controle,Tour,Reception,FN,250,0
017621,Tony Nasr,GP9,10/06/26,Houssem,Controle,Aromair100,Entree,TH,0,0
017622,Sodeco ,Aouina,10/06/26,Houssem,Recharge,Zee300,Entree,F.The,0,300
017623,Carre Douceur ,Lac1,10/06/26,Houssem,Controle,Astree,Entree,FE2,0,0
017624,Energy Car ,Menzah6,10/06/26,Houssem,Controle,Astree,Entree,TH,95,0
017625,Cabinet Dr Haifa Chebbi,Bardo,10/06/26,Houssem,Controle,Astree,Entree,RG,0,0
017625,Cabinet Dr Haifa Chebbi,Bardo,10/06/26,Houssem,Recharge,Astree,Entree,RG,0,300
017626,Poliform ,Soukra,10/06/26,Houssem,Controle,Aromair100,Entree,MELANGE,0,0
017627,Future Generation ,Aouina,11/06/26,Houssem,Controle,Aromair100,Entree,ondee.P,0,0
017627,Future Generation ,Aouina,11/06/26,Houssem,Controle,Aromair100,au fond,ondee.P,0,0
017627,Future Generation ,Aouina,11/06/26,Houssem,Recharge,Aromair100,Entree,ondee.P,0,150
017627,Future Generation ,Aouina,11/06/26,Houssem,Recharge,Aromair100,au fond,ondee.P,0,153
017629,Hotel Corail,Lac2,11/06/26,Houssem,Recharge,Zee300,Reception,RD,0,280
017629,Hotel Corail,Lac2,11/06/26,Houssem,Controle,Note: Recuperation Diffuseur Tour,null,null,0,0
017630,Love Yourself,Lac2,11/06/26,Houssem,Recharge,Aromair100,RDC,RV,0,300
017630,Love Yourself,Lac2,11/06/26,Houssem,Recharge,Aromair100,+1,RV,0,300
017631,Tavolino,Lac2,11/06/26,Houssem,Recharge,Iceburg,Entree,TH,0,300
017632,Timsoft Group,Lac1,11/06/26,Houssem,Recharge,Aromair150,+1,B.the,0,300
017632,Timsoft Group,Lac1,11/06/26,Houssem,Recharge,Aromair150,+2,B.the,0,300
017632,Timsoft Group,Lac1,11/06/26,Houssem,Recharge,Aromair150,+1fond,B.the,0,300
017632,Timsoft Group,Lac1,11/06/26,Houssem,Recharge,Aromair150,+2fond,B.the,0,300
017633,Hotel Carlton,Tunis,11/06/26,Houssem,Recharge,Aromair100,S. Admin,MELANGE,0,300
017634,OACA ,Aéroport,17/06/26,Houssem,Controle,Aromair150,WC.A,-,0,0
017634,OACA ,Aéroport,17/06/26,Houssem,Controle,Zee300,Arrivee,-,0,0
017634,OACA ,Aéroport,17/06/26,Houssem,Controle,Zee600,entrée.A,-,0,0
017635,Maison Mme Hanen,Aouina,17/06/26,Houssem,Controle,Note: Livraison Zee300 Noir BT,null,null,0,0
017635,Maison Mme Hanen,Aouina,17/06/26,Houssem,Recharge,Zee300,salon,RG,0,300
017636,Moustache,Menzah5,17/06/26,Houssem,Controle,Iceburg,entree,MELANGE,40,0
017636,Moustache,Menzah5,17/06/26,Houssem,Recharge,Iceburg,entree,MELANGE,0,300
017637,Dr Skander Ben Gueder,Sousse,17/06/26,Houssem,Controle,Zee300,entree,B.the,0,0
017637,Dr Skander Ben Gueder,Sousse,17/06/26,Houssem,Recharge,Zee300,entree,B.the,0,500
017638,Hotel Concorde ,Lac1,17/06/26,Houssem,Controle,Zee300,RDC,C. Sauvage,154,0
